zone_label,mgmt_area,rms_well,area_acres,sy,sy_source,baseline_year,baseline_gwe,endpoint_year,endpoint_gwe,dgwe_endpoint_minus_baseline_ft,cumulative_storage_endpoint_AF,avg_rate_AF_per_yr,hold_steady_need_AF_per_yr,project_AF_per_yr,project_name,coverage_net_AF_per_yr
22N01W05M001M,North,22N01W05M001M,7467.9,0.0825,SVSim,1999,140.48,2025,140.48,+0.00,0,0,0,0,,+0
23N01E07H001M,North,23N01E07H001M,8342.3,0.0935,SVSim,2019,168.60,2025,165.20,-3.40,-2652,-442,442,0,,-442
23N01W36P001M,North,23N01W36P001M,15173.3,0.0648,SVSim,1999,152.05,2025,140.45,-11.60,-11405,-439,439,2000,Rock Creek recharge,+1561
23N02W25C001M,North,23N02W25C001M,4899.8,0.0845,basin-mean fallback,1999,141.40,2025,146.00,+4.60,1904,73,0,0,,+0
23N01E29P002M,North,23N01E29P002M,14798.4,0.0629,SVSim,1999,163.94,2025,146.54,-17.40,-16196,-623,623,2000,Rock Creek recharge,+1377
23N01W03H004M,North,23N01W03H004M,1996.1,0.1098,SVSim,2012,182.92,2025,178.52,-4.40,-964,-74,74,0,,-74
23N01W09E001M,North,23N01W09E001M,5275.0,0.0821,SVSim,1999,163.09,2025,160.29,-2.80,-1213,-47,47,0,,-47
23N01W10M001M,North,23N01W10M001M,2109.6,0.0797,SVSim,2002,167.63,2025,165.35,-2.28,-384,-17,17,0,,-17
23N01W14R002M,North,23N01W14R002M,3865.3,0.0594,SVSim,1999,166.36,2025,151.46,-14.90,-3421,-132,132,0,,-132
23N01W27L001M,North,23N01W27L001M,3166.1,0.0675,SVSim,1999,151.67,2025,147.07,-4.60,-983,-38,38,0,,-38
23N01W28M004M,North,23N01W28M004M,3226.7,0.095,SVSim,2009,146.47,2025,148.24,+1.78,545,34,0,0,,+0
23N01W31M004M,North,23N01W31M004M,1574.6,0.0864,SVSim,2009,139.52,2024,140.29,+0.76,104,7,0,0,,+0
23N01E33A001M,Chico,23N01E33A001M,1092.3,0.1124,SVSim,2003,155.34,2025,140.69,-14.65,-1799,-82,82,2000,Recharge project,+1918
22N01E20K001M,Chico,22N01E20K001M,12798.6,0.0936,SVSim,2000,139.94,2022,118.44,-21.50,-25756,-1171,1171,0,,-1171
22N01E09B001M,Chico,22N01E09B001M,15827.4,0.0936,SVSim,2002,148.23,2025,134.53,-13.70,-20296,-882,882,0,,-882
20N02E24C001M,South,20N02E24C001M,7860.7,0.093,SVSim,2000,128.02,2024,104.68,-23.34,-17065,-711,711,1250,Conjunctive use (surface water replaces groundwater),+539
21N02E18C003M,South,21N02E18C003M,5243.6,0.1108,SVSim,2011,156.93,2025,169.49,+12.56,7297,521,0,0,,+0
20N01E02H003M,South,20N01E02H003M,4896.8,0.069,SVSim,2002,113.05,2025,102.90,-10.15,-3429,-149,149,0,,-149
20N02E08H003M,South,20N02E08H003M,3457.2,0.0916,SVSim,2008,123.33,2025,116.83,-6.50,-2058,-121,121,2250,Conjunctive use (surface water replaces groundwater),+2129
20N02E09G001M,South,20N02E09G001M,4209.5,0.0987,SVSim,2002,126.14,2024,113.85,-12.29,-5107,-232,232,2250,Conjunctive use (surface water replaces groundwater),+2018
20N03E33L001M,South,20N03E33L001M,5185.9,0.1172,SVSim,2000,128.43,2025,111.31,-17.12,-10405,-416,416,1250,Conjunctive use (surface water replaces groundwater),+834
21N01E10B003M,South,21N01E10B003M,6650.3,0.0895,SVSim,1999,142.43,2025,120.63,-21.80,-12975,-499,499,1500,Comanche Creek recharge,+1001
21N01E13L004M,South,21N01E13L004M,2712.9,0.0921,SVSim,2012,167.78,2025,115.73,-52.05,-13005,-1000,1000,0,,-1000
21N01E25K001M,South,21N01E25K001M,2747.9,0.0845,basin-mean fallback,1999,129.23,2025,106.03,-23.20,-5386,-207,207,0,,-207
21N01E27D001M,South,21N01E27D001M,10824.6,0.0698,SVSim,1999,123.54,2025,103.74,-19.80,-14960,-575,575,0,,-575
21N02E26E006M,South,21N02E26E006M,11480.0,0.1066,SVSim,2008,116.74,2025,109.50,-7.24,-8863,-521,521,0,,-521
21N02E32E001M,South,21N02E32E001M,3691.6,0.0716,SVSim,2009,121.43,2025,121.43,+0.00,0,0,0,0,,+0
21N03E32B001M,South,21N03E32B001M,14224.9,0.0752,SVSim,2000,227.03,2025,222.43,-4.60,-4921,-197,197,0,,-197
