zone_label,n_boreholes_in_polygon,n_boreholes_with_>=200ft_valid,total_thick_ft,coarse_thick_ft,pct_coarse,sy
22N01W05M001M,4,4,1321.0,378.0,0.2861,0.0786
23N01E07H001M,4,2,591.0,257.0,0.4349,0.0935
23N01E33A001M,7,4,1414.0,412.0,0.2914,0.0791
23N01W36P001M,6,4,1910.0,204.0,0.1068,0.0607
23N02W25C001M,4,1,500.0,247.0,0.4940,0.0994
23N01E29P002M,1,0,0.0,0.0,,
23N01W09E001M,5,4,1586.0,509.0,0.3209,0.0821
23N01W10M001M,3,3,1217.0,511.0,0.4199,0.0920
23N01W14R002M,1,1,500.0,47.0,0.0940,0.0594
23N01W27L001M,2,2,1000.0,175.0,0.1750,0.0675
23N01W28M004M,3,3,1388.0,624.0,0.4496,0.0950
22N01E20K001M,11,4,1593.0,279.0,0.1751,0.0675
22N01E09B001M,29,0,0.0,0.0,,
20N02E24C001M,7,6,2971.0,1279.0,0.4305,0.0930
21N02E18C003M,55,5,1881.0,1050.0,0.5582,0.1058
20N01E02H003M,9,5,1954.0,371.0,0.1899,0.0690
20N02E09G001M,4,4,1703.0,794.0,0.4662,0.0966
20N03E33L001M,2,2,406.0,273.0,0.6724,0.1172
21N01E10B003M,3,3,1204.0,476.0,0.3953,0.0895
21N01E13L004M,4,3,1290.0,543.0,0.4209,0.0921
21N01E25K001M,0,0,0.0,0.0,,
21N01E27D001M,5,4,2000.0,397.0,0.1985,0.0698
21N02E26E006M,6,5,2282.0,1291.0,0.5657,0.1066
21N02E32E001M,38,2,598.0,129.0,0.2157,0.0716
21N03E32B001M,4,3,1243.0,313.0,0.2518,0.0752
CWSCH01b,13,6,2117.0,1014.0,0.4790,0.0979
