zone_label,n_boreholes_in_polygon,n_boreholes_with_>=200ft_valid,total_thick_ft,coarse_thick_ft,pct_coarse,sy
22N01W05M001M,3,3,961.0,312.0,0.3247,0.0825
23N01E07H001M,4,2,591.0,257.0,0.4349,0.0935
23N01W36P001M,18,7,3037.0,448.0,0.1475,0.0648
23N02W25C001M,2,0,0.0,0.0,,
23N01E29P002M,10,3,949.0,122.0,0.1286,0.0629
23N01W03H004M,1,1,497.0,297.0,0.5976,0.1098
23N01W09E001M,5,4,1586.0,509.0,0.3209,0.0821
23N01W10M001M,2,2,720.0,214.0,0.2972,0.0797
23N01W14R002M,1,1,500.0,47.0,0.0940,0.0594
23N01W27L001M,2,2,1000.0,175.0,0.1750,0.0675
23N01W28M004M,3,3,1388.0,624.0,0.4496,0.0950
23N01W31M004M,3,2,860.0,313.0,0.3640,0.0864
23N01E33A001M,1,1,465.0,290.0,0.6237,0.1124
22N01E20K001M,33,7,2371.0,1033.0,0.4357,0.0936
22N01E09B001M,31,3,1201.0,524.0,0.4363,0.0936
20N02E24C001M,7,6,2971.0,1279.0,0.4305,0.0930
21N02E18C003M,29,2,892.0,542.0,0.6076,0.1108
20N01E02H003M,5,5,1954.0,371.0,0.1899,0.0690
20N02E08H003M,7,1,500.0,208.0,0.4160,0.0916
20N02E09G001M,3,3,1203.0,586.0,0.4871,0.0987
20N03E33L001M,2,2,406.0,273.0,0.6724,0.1172
21N01E10B003M,3,3,1204.0,476.0,0.3953,0.0895
21N01E13L004M,4,3,1290.0,543.0,0.4209,0.0921
21N01E25K001M,0,0,0.0,0.0,,
21N01E27D001M,5,4,2000.0,397.0,0.1985,0.0698
21N02E26E006M,6,5,2282.0,1291.0,0.5657,0.1066
21N02E32E001M,36,2,598.0,129.0,0.2157,0.0716
21N03E32B001M,4,3,1243.0,313.0,0.2518,0.0752
