year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,-23131,-23131
2001,Dry,-29362,-52493
2002,Dry,-5758,-58251
2003,Above Normal,9876,-48375
2004,Below Normal,21697,-26677
2005,Above Normal,-7245,-33923
2006,Wet,23303,-10619
2007,Dry,-46386,-57005
2008,Critical,-28605,-85610
2009,Dry,-27667,-113278
2010,Below Normal,3918,-109359
2011,Wet,5269,-104091
2012,Below Normal,-11066,-115157
2013,Dry,-45451,-160608
2014,Critical,-71912,-232520
2015,Critical,-4609,-237129
2016,Below Normal,9080,-228049
2017,Wet,104239,-123810
2018,Below Normal,-57518,-181328
2019,Wet,61889,-119439
2020,Dry,-49917,-169356
2021,Critical,-77383,-246740
2022,Critical,-59512,-306252
2023,Wet,45313,-260938
2024,Above Normal,56702,-204237
2025,Wet,42340,-161896
