year,year_type,yoy_delta_AF,cumulative_AF
1999,Wet,0,0
2000,Above Normal,-44879,-44879
2001,Dry,-26657,-71536
2002,Dry,-17875,-89411
2003,Above Normal,-2427,-91838
2004,Below Normal,19303,-72535
2005,Above Normal,220,-72315
2006,Wet,29300,-43015
2007,Dry,-65207,-108222
2008,Critical,-28490,-136712
2009,Dry,-41964,-178676
2010,Below Normal,8825,-169851
2011,Wet,8441,-161409
2012,Below Normal,-4004,-165413
2013,Dry,-55542,-220955
2014,Critical,-93293,-314248
2015,Critical,-2945,-317193
2016,Below Normal,17861,-299332
2017,Wet,115950,-183382
2018,Below Normal,-61190,-244571
2019,Wet,64093,-180478
2020,Dry,-53928,-234406
2021,Critical,-81782,-316188
2022,Critical,-85704,-401892
2023,Wet,49784,-352108
2024,Above Normal,71167,-280941
2025,Above Normal,49198,-231743
